,SPY,LQD,HYG,JNK,VCIT,VCSH,USIG,BND,^FTSE,^N225,^STOXX50E,^GDAXI,^FCHI,^HSI,^AXJO
2012-05-17,102.1130142211914,69.94715118408203,40.263206481933594,49.08733367919922,50.67674255371094,54.08924102783203,33.67898178100586,55.917911529541016,5338.39990234375,8876.58984375,,6308.9599609375,3011.989990234375,19200.9296875,4157.39990234375
2012-05-18,101.23900604248047,69.6756591796875,40.263206481933594,49.1258659362793,50.61677551269531,54.08238983154297,33.54191970825195,55.88470458984375,5267.60009765625,8611.3095703125,2144.68994140625,6271.22021484375,3008.0,18951.849609375,4046.5
2012-05-21,102.97915649414062,69.75408935546875,40.6815299987793,49.460052490234375,50.47288131713867,54.034461975097656,33.54191970825195,55.89137268066406,5304.5,8633.8896484375,2150.159912109375,6331.0400390625,3027.14990234375,18922.3203125,4073.60009765625
2012-05-22,103.15863037109375,69.56702423095703,40.676910400390625,49.42148971557617,50.49086380004883,54.041316986083984,33.511451721191406,55.79834747314453,5403.2998046875,8729.2900390625,2192.85009765625,6435.60009765625,3084.090087890625,19039.150390625,4121.0
2012-05-23,103.21326446533203,69.73602294921875,40.63557052612305,49.38296127319336,50.50287628173828,54.041316986083984,33.514503479003906,55.83817672729492,5266.39990234375,8556.599609375,2134.050048828125,6285.75,3003.27001953125,18786.189453125,4067.0
2012-05-24,103.4161376953125,69.7480239868164,40.64474105834961,49.40864562988281,50.48488235473633,54.000247955322266,33.37744903564453,55.778404235839844,5350.10009765625,8563.3798828125,2156.52001953125,6315.89013671875,3038.25,18666.400390625,4055.800048828125
2012-05-25,103.08061981201172,69.92308044433594,40.516029357910156,49.34436798095703,50.640785217285156,54.06871795654297,33.39875411987305,55.84483337402344,5351.5,8580.3896484375,2161.8701171875,6339.93994140625,3047.93994140625,18713.41015625,4029.199951171875
2012-05-28,,,,,,,,,,8593.150390625,,6323.18994140625,3042.969970703125,18800.990234375,4068.0
2012-05-29,104.3291015625,70.02565002441406,40.96193313598633,49.75570297241211,50.598777770996094,54.06181716918945,33.4322624206543,55.84483337402344,5391.10009765625,8657.080078125,2160.31005859375,6396.83984375,3084.699951171875,19055.4609375,4114.39990234375
2012-05-30,102.8152847290039,70.08592987060547,40.77806854248047,49.51150894165039,50.868568420410156,54.07556915283203,33.52971649169922,56.0574951171875,5297.2998046875,8633.1904296875,2116.179931640625,6280.7998046875,3015.580078125,18690.220703125,4094.199951171875
2012-05-31,102.58901977539062,70.58077239990234,40.345951080322266,48.98450469970703,51.00811767578125,54.14549255371094,33.666786193847656,56.16384506225586,5320.89990234375,8542.73046875,2118.93994140625,6264.3798828125,3017.010009765625,18629.51953125,4076.300048828125
2012-06-01,100.00617218017578,71.01425170898438,39.9953498840332,48.61848831176758,51.1163444519043,54.056339263916016,33.81494903564453,56.3609619140625,5260.2001953125,8440.25,2068.659912109375,6050.2900390625,2950.469970703125,18558.33984375,4063.89990234375
2012-06-04,99.95928955078125,70.47540283203125,40.02772903442383,48.696041107177734,50.941951751708984,54.08375549316406,33.643890380859375,56.22110366821289,,8295.6298828125,2078.9599609375,5978.22998046875,2954.489990234375,18185.58984375,3985.0
2012-06-05,100.71621704101562,70.32405853271484,40.28211212158203,48.87714385986328,50.85177993774414,54.07006072998047,33.573612213134766,56.107887268066406,,8382.0,2087.31005859375,5969.39990234375,2986.10009765625,18259.029296875,4043.699951171875
2012-06-06,102.97915649414062,70.11820220947266,40.7122802734375,49.3039436340332,50.77360153198242,54.111167907714844,33.53696823120117,56.00130844116211,5384.10009765625,8533.5302734375,2137.72998046875,6093.990234375,3058.43994140625,18520.529296875,4055.300048828125
2012-06-07,103.04157257080078,70.26351165771484,40.86491012573242,49.48503494262695,50.839759826660156,54.124916076660156,33.60723114013672,56.021305084228516,5447.7998046875,8639.7197265625,2143.080078125,6144.22021484375,3071.159912109375,18678.2890625,4108.60009765625
2012-06-08,103.86091613769531,70.52388000488281,41.02217102050781,49.61437225341797,50.94797134399414,54.19351577758789,33.634735107421875,56.054622650146484,5435.10009765625,8459.259765625,2143.89990234375,6130.81982421875,3051.68994140625,18502.33984375,4063.699951171875
2012-06-11,102.54217529296875,70.51176452636719,40.75390625,49.35569763183594,51.0501823425293,54.220951080322266,33.6836051940918,56.101219177246094,5432.39990234375,8624.900390625,2137.699951171875,6141.0498046875,3042.760009765625,18953.630859375,
2012-06-12,103.72048950195312,70.30590057373047,41.04069900512695,49.743709564208984,50.89387893676758,54.063209533691406,33.595001220703125,56.01466369628906,5473.7001953125,8536.7197265625,2143.3798828125,6161.240234375,3046.909912109375,18872.560546875,4072.89990234375
2012-06-13,103.0572280883789,70.56011199951172,40.92041015625,49.61437225341797,50.978057861328125,54.104347229003906,33.701927185058594,56.13453674316406,5483.7998046875,8587.83984375,2143.5,6152.490234375,3030.0400390625,19026.51953125,4063.800048828125
2012-06-14,104.14962005615234,70.47540283203125,41.225685119628906,49.860111236572266,50.954002380371094,54.09749221801758,33.65917205810547,56.101219177246094,5467.10009765625,8568.8896484375,2148.2099609375,6138.60986328125,3032.449951171875,18808.400390625,4042.199951171875
2012-06-15,105.21482849121094,70.7659912109375,41.29970932006836,50.028236389160156,51.17048263549805,54.15237808227539,33.787471771240234,56.22779083251953,5478.7998046875,8569.3203125,2181.22998046875,6229.41015625,3087.6201171875,19233.939453125,4057.300048828125
2012-06-18,105.41871643066406,70.73579406738281,41.31358337402344,49.93772506713867,51.20652389526367,54.20037841796875,33.86384201049805,56.234458923339844,5491.10009765625,8721.01953125,2155.639892578125,6248.2001953125,3066.18994140625,19427.810546875,4136.89990234375
2012-06-19,106.43843841552734,70.66914367675781,41.60496139526367,50.37748336791992,51.164466857910156,54.26207733154297,33.775264739990234,56.161190032958984,5586.2998046875,8655.8701171875,2198.010009765625,6363.35986328125,3117.919921875,19416.669921875,4123.2998046875
2012-06-20,106.26587677001953,70.69940948486328,41.76687240600586,50.54559326171875,51.194515228271484,54.220951080322266,33.82411575317383,56.054622650146484,5622.2998046875,8752.3095703125,2207.489990234375,6392.1298828125,3126.52001953125,19518.849609375,4132.39990234375
2012-06-21,103.88140869140625,70.80840301513672,41.424564361572266,50.26105880737305,51.29074478149414,54.23469543457031,33.87912368774414,56.14787673950195,5566.39990234375,8824.0703125,2199.419921875,6343.1298828125,3114.219970703125,19265.0703125,4087.60009765625
2012-06-22,104.68144989013672,70.75391387939453,41.70672607421875,50.48092269897461,51.24262237548828,54.26207733154297,33.83024215698242,56.03461456298828,5513.7001953125,8798.349609375,2186.81005859375,6263.25,3090.89990234375,18995.130859375,4048.199951171875
2012-06-25,103.00289154052734,70.9355697631836,41.64198684692383,50.455078125,51.320796966552734,54.25522994995117,33.90658187866211,56.18114471435547,5450.7001953125,8734.6201171875,2130.7099609375,6132.39013671875,3021.639892578125,18897.44921875,4027.800048828125
2012-06-26,103.52059936523438,71.00819396972656,41.58185958862305,50.4033203125,51.20652389526367,54.25522994995117,33.87912368774414,56.12120819091797,5447.0,8663.990234375,2127.949951171875,6136.68994140625,3012.7099609375,18981.83984375,4013.300048828125
2012-06-27,104.45397186279297,71.10505676269531,41.83161163330078,50.68788146972656,51.22459030151367,54.28951644897461,33.93103790283203,56.18114471435547,5523.89990234375,8730.490234375,2165.610107421875,6228.990234375,3063.1201171875,19176.94921875,4043.199951171875
2012-06-28,104.15592956542969,71.21407318115234,41.82697296142578,50.662025451660156,51.33282470703125,54.31005859375,33.952423095703125,56.24110794067383,5493.10009765625,8874.1103515625,2157.6201171875,6149.91015625,3051.679931640625,19025.26953125,4044.800048828125
2012-06-29,106.7521743774414,71.19589233398438,42.22475051879883,51.037078857421875,51.38228225708008,54.38429260253906,33.90658187866211,56.201148986816406,5571.2001953125,9006.7802734375,2264.719970703125,6416.27978515625,3196.64990234375,19441.4609375,4094.60009765625
2012-07-02,107.07376861572266,71.57372283935547,42.270355224609375,51.135982513427734,51.65363311767578,54.37743377685547,34.068695068359375,56.31928634643555,5640.60009765625,9003.48046875,2292.080078125,6496.080078125,3240.199951171875,,4133.0
