target,year,id,group,columns,C,history,kind,inner_ap,inner_n,inner_positives
loss10,2007,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.015001514304288904,730,6
loss10,2008,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,,881,0
loss10,2008,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,,881,0
loss10,2008,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,,881,0
loss10,2008,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,,881,0
loss10,2008,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,,881,0
loss10,2008,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,,881,0
loss10,2008,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,,881,0
loss10,2008,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,,881,0
loss10,2008,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,,881,0
loss10,2008,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,,881,0
loss10,2008,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,,881,0
loss10,2008,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,,881,0
loss10,2008,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,,881,0
loss10,2008,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,,881,0
loss10,2008,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,,881,0
loss10,2008,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,,881,0
loss10,2008,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,,881,0
loss10,2008,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,,881,0
loss10,2009,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,,1032,0
loss10,2009,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,,1032,0
loss10,2009,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,,1032,0
loss10,2009,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,,1032,0
loss10,2009,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,,1032,0
loss10,2009,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,,1032,0
loss10,2009,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,,1032,0
loss10,2009,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,,1032,0
loss10,2009,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,,1032,0
loss10,2009,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,,1032,0
loss10,2009,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,,1032,0
loss10,2009,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,,1032,0
loss10,2009,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,,1032,0
loss10,2009,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,,1032,0
loss10,2009,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,,1032,0
loss10,2009,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,,1032,0
loss10,2009,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,,1032,0
loss10,2009,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,,1032,0
loss10,2010,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,0.3453463563075964,1184,52
loss10,2010,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,0.06594901433112083,1184,52
loss10,2010,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,0.030647090999192855,1184,52
loss10,2010,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.03818718838601111,1184,52
loss10,2010,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.0380139573402995,1184,52
loss10,2010,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.03739139205778492,1184,52
loss10,2010,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.3464924167685102,1184,52
loss10,2010,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.23066674706880191,1184,52
loss10,2010,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.06440147914262831,1184,52
loss10,2010,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,0.054914022860774916,1184,52
loss10,2010,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,0.05188255895251625,1184,52
loss10,2010,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,0.053099860177215616,1184,52
loss10,2010,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.08823441839866689,1184,52
loss10,2010,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.08528354970644955,1184,52
loss10,2010,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.0829902942191551,1184,52
loss10,2010,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.06293041837225731,1184,52
loss10,2010,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.07007192263241269,1184,52
loss10,2010,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.0699208522581639,1184,52
loss10,2011,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,0.2883178610751316,1335,91
loss10,2011,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,0.12505340431141262,1335,91
loss10,2011,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,0.07891072498671234,1335,91
loss10,2011,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.051768145197110156,1335,91
loss10,2011,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.05306516013802116,1335,91
loss10,2011,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.05333615205746478,1335,91
loss10,2011,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.3021965511665358,1335,91
loss10,2011,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.2291714851248859,1335,91
loss10,2011,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.17289209372410116,1335,91
loss10,2011,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,0.14250634851337918,1335,91
loss10,2011,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,0.13917277453109328,1335,91
loss10,2011,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,0.14281801117651943,1335,91
loss10,2011,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.09817571192250027,1335,91
loss10,2011,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.09923071960435917,1335,91
loss10,2011,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.10070877480618323,1335,91
loss10,2011,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.14807698213580292,1335,91
loss10,2011,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.1511964313300199,1335,91
loss10,2011,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.1485814327872308,1335,91
loss10,2012,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,0.2716877786106723,1486,98
loss10,2012,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,0.12086827329816359,1486,98
loss10,2012,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,0.07367261869398287,1486,98
loss10,2012,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.04318085474775972,1486,98
loss10,2012,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.04323099608913253,1486,98
loss10,2012,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.04349595843923918,1486,98
loss10,2012,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.28232314044344564,1486,98
loss10,2012,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.21587227907611048,1486,98
loss10,2012,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.17815110235621545,1486,98
loss10,2012,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,0.11284943165453173,1486,98
loss10,2012,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,0.11203759561390822,1486,98
loss10,2012,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,0.11426156674549105,1486,98
loss10,2012,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.07364385301702363,1486,98
loss10,2012,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.0759305170415498,1486,98
loss10,2012,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.07581524410919002,1486,98
loss10,2012,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.1274428648533074,1486,98
loss10,2012,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.13163689460260164,1486,98
loss10,2012,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.1293382807070696,1486,98
loss10,2013,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,0.25575058124481254,1636,118
loss10,2013,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,0.15204198368730887,1636,118
loss10,2013,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,0.09986031881306517,1636,118
loss10,2013,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.052645759136582294,1636,118
loss10,2013,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.053034580342887,1636,118
loss10,2013,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.0532191728884241,1636,118
loss10,2013,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.2628312226236985,1636,118
loss10,2013,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.21494381256438302,1636,118
loss10,2013,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.18905485288259732,1636,118
loss10,2013,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,0.12368631815580303,1636,118
loss10,2013,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,0.12473223523906718,1636,118
loss10,2013,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,0.12419923097987298,1636,118
loss10,2013,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.10543086918618709,1636,118
loss10,2013,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.10866895746846697,1636,118
loss10,2013,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.10794440079060455,1636,118
loss10,2013,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.13581857317552382,1636,118
loss10,2013,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.13880648391271416,1636,118
loss10,2013,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.13335668061958034,1636,118
loss10,2014,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,0.24008344339894883,1787,118
loss10,2014,market/C=0.1,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.1,0,lr,0.1022986101848874,1787,118
loss10,2014,market/C=1.0,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",1.0,0,lr,0.06709551962639038,1787,118
loss10,2014,topology/C=0.01,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.06470433247099769,1787,118
loss10,2014,topology/C=0.1,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.06735421182042682,1787,118
loss10,2014,topology/C=1.0,topology,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.06830039630652722,1787,118
loss10,2014,combined/C=0.01,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.01,0,lr,0.23330427341766616,1787,118
loss10,2014,combined/C=0.1,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",0.1,0,lr,0.16517616021807213,1787,118
loss10,2014,combined/C=1.0,combined,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",1.0,0,lr,0.12218199040817754,1787,118
loss10,2014,market_xgb/C=2,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",2.0,0,xgb,0.09303996546296679,1787,118
loss10,2014,market_xgb/C=3,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",3.0,0,xgb,0.09564045757203704,1787,118
loss10,2014,market_xgb/C=4,market_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",4.0,0,xgb,0.09562438113789953,1787,118
loss10,2014,topology_xgb/C=2,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.10512836734133002,1787,118
loss10,2014,topology_xgb/C=3,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.10176154136646585,1787,118
loss10,2014,topology_xgb/C=4,topology_xgb,"[""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.10094516353756719,1787,118
loss10,2014,combined_xgb/C=2,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",2.0,0,xgb,0.09109691278430057,1787,118
loss10,2014,combined_xgb/C=3,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",3.0,0,xgb,0.09313921189331581,1787,118
loss10,2014,combined_xgb/C=4,combined_xgb,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve"", ""h1_entropy_normalized"", ""h1_total_per_asset"", ""w2_per_sqrt_asset""]",4.0,0,xgb,0.09181498614883193,1787,118
loss10,2015,market/C=0.01,market,"[""log_vix"", ""vol20"", ""drawdown_60"", ""yield_curve""]",0.01,0,lr,0.27297193498429956,1938,118
