target,model,reference,block_sessions,draws,ap_difference,lower95,upper95,primary_family,lower_bonferroni,upper_bonferroni,share_draws_favouring_model,source,basket,p_approx,q_value_bh,significant_fdr_5pct
loss075,combined_rf,market_rf,60,500,0.0237128169842722,-0.0031398007064658,0.0692789908591409,False,-0.004912015125809,0.0735382131440761,0.954,phase7_alternative_learners,,0.09200000000000008,0.30160000000000026,False
loss05,combined_pi_lasso,combined,60,500,-0.078954730708135,-0.1768209800268962,0.0098127378198059,False,-0.1920958109455728,0.0168997130524373,0.05,phase7_alternative_learners,,0.1,0.30160000000000026,False
loss10,combined_z,VIX,60,500,-0.0407685835240523,-0.0748467403133986,0.0069481483361495,False,-0.0832893801223702,0.0090159275025163,0.05,phase1_improvement_study,,0.1,0.30160000000000026,False
loss075,combined_ews,market,60,500,-0.0466522407143505,-0.1005816894630059,0.0048053175462982,True,-0.1048211046744439,0.0087946161689663,0.052,phase1_improvement_study,,0.104,0.30160000000000026,False
loss05,market_rf,market,60,500,-0.0698246920544014,-0.1375030752892429,0.0051553646308752,False,-0.147499478907328,0.0122516020205041,0.052,phase7_alternative_learners,,0.104,0.30160000000000026,False
loss10,topology_rf,topology,60,500,0.0514473402983417,-0.0071634478534919,0.1826306313013068,False,-0.0155482149685084,0.201378310925396,0.948,phase7_alternative_learners,,0.10400000000000009,0.30160000000000026,False
loss05,topology_pi_rf,market,60,500,-0.0729394985759357,-0.1511663416897984,0.0147553975684129,False,-0.1612793165973328,0.0226389679502969,0.054,phase7_alternative_learners,,0.108,0.302139534883721,False
loss075,combined_pi_lasso,market,60,500,-0.0662703262781621,-0.1373783674919945,0.0048679047628711,False,-0.1433131026810444,0.0100560503803609,0.056,phase7_alternative_learners,,0.112,0.302139534883721,False
loss10,combined_ews,VIX,60,500,-0.0623686298275665,-0.1196737430327179,0.0133656483930303,False,-0.1302322807181979,0.0219853912370055,0.056,phase1_improvement_study,,0.112,0.302139534883721,False
loss10,market_lasso,market,60,500,-0.0938695436044272,-0.2097580611953119,0.0100706137420942,False,-0.2231802123896719,0.0197700089451765,0.06,phase7_alternative_learners,,0.12,0.31636363636363635,False
loss05,combined_xgb,combined,60,500,-0.0534195824863946,-0.1088383277679174,0.0117284056406235,False,-0.1155127868690803,0.0167969962789461,0.062,phase3_xgb_extension,,0.124,0.31964444444444445,False
loss05,combined_pi_rf,market,60,500,-0.0545320810072642,-0.1195651386708302,0.0188910539408918,False,-0.1233412576914124,0.0226451280420981,0.066,phase7_alternative_learners,,0.132,0.3328695652173913,False
loss075,topology_pi_lasso,market,60,500,-0.0973043856817726,-0.2026420463835896,0.0180258526474753,False,-0.226727503639228,0.0255390296896719,0.068,phase7_alternative_learners,,0.136,0.33565957446808514,False
loss05,combined_pi_rf,combined,60,500,-0.0523285088569093,-0.116694505113952,0.0166594213778637,False,-0.123183696678116,0.0210829744571169,0.074,phase7_alternative_learners,,0.148,0.3457254901960784,False
loss10,combined_correlation,market_correlation,60,500,0.0054361620937837,-0.0014752985701828,0.0130549222485853,False,-0.0019200233108059,0.0139840503912696,0.924,phase1_improvement_study,,0.1519999999999999,0.3457254901960784,False
loss075,combined_ews,VIX,60,500,-0.0440469486538899,-0.1038412517792677,0.0113734816167661,False,-0.10973990456031,0.0148881055731544,0.076,phase1_improvement_study,,0.152,0.3457254901960784,False
loss075,combined_pi_lasso,combined,60,500,-0.062681321662005,-0.1371894973213455,0.0108098602339025,False,-0.1421678015368863,0.0141512966972317,0.076,phase7_alternative_learners,,0.152,0.3457254901960784,False
loss075,topology_xgb,topology,60,500,0.0211824796228565,-0.0058155873860686,0.0695071455642451,False,-0.0104204187664583,0.0863671143699407,0.904,phase3_xgb_extension,,0.19199999999999995,0.42103703703703704,False
loss10,combined_rf,market_rf,60,500,0.0227135845062328,-0.0069688515373432,0.0778163737219303,False,-0.0119989780426069,0.0937730957393888,0.902,phase7_alternative_learners,,0.19599999999999995,0.42103703703703704,False
loss075,combined_ews_correlation,market_correlation,60,500,-0.0253599698011312,-0.0624107855014853,0.007709632943725,False,-0.075926075719417,0.0127312392462804,0.098,phase1_improvement_study,,0.196,0.42103703703703704,False
loss05,topology_rf,topology,60,500,0.0655990193009801,-0.0290764230136163,0.1740895030249155,False,-0.0386329675328913,0.1872888369990105,0.9,phase7_alternative_learners,,0.19999999999999996,0.42181818181818176,False
loss10,topology_z,topology,60,500,0.0171906772722713,-0.0157615957584277,0.0417893811207705,False,-0.0374923319602426,0.0443269369557679,0.892,phase1_improvement_study,,0.21599999999999997,0.4474285714285714,False
loss10,topology_xgb,topology,60,500,0.0174954466595123,-0.0094563606116664,0.0566936357630718,False,-0.0191782550860618,0.0649456561187857,0.888,phase3_xgb_extension,,0.22399999999999998,0.44799999999999995,False
loss05,combined_xgb,market_xgb,60,500,0.0186310733875978,-0.0099106045880407,0.0568992188618833,False,-0.0132961367496775,0.0611486930204317,0.888,phase3_xgb_extension,,0.22399999999999998,0.44799999999999995,False
loss10,combined_orthogonal,market,60,500,-0.0117556167353294,-0.0251286453162401,0.0033894305876987,False,-0.0274826851545868,0.0051702724408477,0.118,phase2_orthogonal_addendum,,0.236,0.46399999999999997,False
loss05,combined_rf,market_rf,60,500,0.0339172180425801,-0.0150874695569763,0.0916135007117012,False,-0.0189655241426732,0.1006001689878234,0.88,phase7_alternative_learners,,0.24,0.464,False
loss05,combined_ews,market,60,500,-0.0213424349356615,-0.0469337764866157,0.0095654091791281,True,-0.050717937017767,0.0118151684667572,0.138,phase1_improvement_study,,0.276,0.5248524590163935,False
loss075,market_lasso,market,60,500,-0.0371889949183829,-0.0799366026389302,0.011810632708431,False,-0.0830416555472533,0.0155184434514456,0.148,phase7_alternative_learners,,0.296,0.5365000000000001,False
loss075,combined_delay,combined,60,500,0.020535468701080112,-0.010521374371255386,0.057836368696500426,False,-0.01218997211857615,0.06045706403356611,0.852,phase8_delay_embedding,,0.29600000000000004,0.5365000000000001,False
loss05,topology_xgb,topology,60,500,0.0399648591845769,-0.0279231375713921,0.1248895113824637,False,-0.0365967745197273,0.1426485835146661,0.852,phase3_xgb_extension,,0.29600000000000004,0.5365000000000001,False
loss10,topology_lasso,topology,60,500,0.0243869050039372,-0.0189705527885273,0.1130054711662207,False,-0.0283602166119652,0.131656772635022,0.846,phase7_alternative_learners,,0.30800000000000005,0.5446956521739132,False
loss05,combined_ews_correlation,market_correlation,60,500,-0.0107901770846735,-0.0250596865524203,0.007552840122633,False,-0.0262344725939304,0.010591700709224,0.156,phase1_improvement_study,,0.312,0.5446956521739132,False
loss075,combined_orthogonal,market,60,500,-0.0059944228843638,-0.0163791807210295,0.0056547618941974,False,-0.0188980865735086,0.0080986643952982,0.158,phase2_orthogonal_addendum,,0.316,0.5446956521739132,False
loss05,delay_topology,topology,60,500,-0.039675681899118354,-0.11313284633102692,0.03635654843368081,False,-0.12501021104021304,0.0471095896793761,0.16,phase8_delay_embedding,,0.32,0.5446956521739132,False
loss05,topology_z,topology,60,500,0.0173009923824365,-0.0197393272222096,0.0610842495059602,False,-0.0264123360931659,0.0654308099834077,0.838,phase1_improvement_study,,0.32400000000000007,0.5446956521739132,False
loss075,combined_xgb,market_xgb,60,500,0.0097489399783038,-0.0092499487124989,0.0403317317743206,False,-0.0127045082187288,0.0473706846667826,0.834,phase3_xgb_extension,,0.3320000000000001,0.5489577464788732,False
loss10,combined_ews,market,60,500,-0.0206527438392537,-0.0564689781257316,0.0149499707856186,True,-0.0616751025420418,0.0186220856035396,0.168,phase1_improvement_study,,0.336,0.5489577464788732,False
loss05,combined_ews,VIX,60,500,-0.0190044407403032,-0.0514602755979708,0.0179416024223093,False,-0.0543035907972622,0.0230388434283542,0.176,phase1_improvement_study,,0.352,0.5671111111111111,False
loss075,topology_ews,topology,60,500,-0.0148383080463356,-0.0429035342453798,0.0218377922840133,False,-0.0468586671782108,0.0313507993706035,0.198,phase1_improvement_study,,0.396,0.6292602739726028,False
loss05,combined_z,market,60,500,0.0041003700373372,-0.0051399276875028,0.0149621045002662,True,-0.0071830517210164,0.0156414040480991,0.794,phase1_improvement_study,,0.4119999999999999,0.6458378378378377,False
loss075,topology_lasso,topology,60,500,0.0062666097554286,-0.0097763735805339,0.0414166896085698,False,-0.0106261613349144,0.0470978879449605,0.778,phase7_alternative_learners,,0.44399999999999995,0.6612,False
loss05,combined_delay,market,60,500,-0.019706699883917655,-0.050075382324217196,0.021300259951922616,False,-0.0561482182380595,0.027817403583429434,0.222,phase8_delay_embedding,,0.444,0.6612,False
loss075,combined_delay,market,60,500,0.01694646408492298,-0.011555399290624628,0.05333807006842961,False,-0.012198482781289174,0.05932231715460849,0.776,phase8_delay_embedding,,0.44799999999999995,0.6612,False
loss075,combined,market,60,500,-0.0035890046161571,-0.014670889549363,0.0053536060469703,False,-0.0169524673923943,0.0067658777134745,0.224,phase1_improvement_study,,0.448,0.6612,False
loss10,combined_xgb,market_xgb,60,500,-0.0044268857943373,-0.0278786433177843,0.0102043304841541,False,-0.0301049775166261,0.0134330644734412,0.226,phase3_xgb_extension,,0.452,0.6612,False
loss075,delay_topology,topology,60,500,-0.017021095812066636,-0.05926940332988801,0.03567627823275534,False,-0.06212447173462459,0.04310535338315357,0.228,phase8_delay_embedding,,0.456,0.6612,False
loss075,combined_z_correlation,market_correlation,60,500,-0.0272804952948955,-0.0903344694233895,0.0177588778677647,False,-0.1050633799994804,0.0225170663291478,0.24,phase1_improvement_study,,0.48,0.6790243902439025,False
loss10,combined_z_correlation,market_correlation,60,500,0.004097629882604,-0.0103390856809179,0.0174950223941696,False,-0.0123087898410265,0.0193774166451506,0.76,phase1_improvement_study,,0.48,0.6790243902439025,False
loss05,topology_ews,topology,60,500,-0.0158170690133602,-0.048767163352055,0.0245647869907762,False,-0.0519902167197614,0.0317658446664623,0.25,phase1_improvement_study,,0.5,0.6852093023255814,False
loss05,combined_correlation,market_correlation,60,500,-0.0037854200888333,-0.0131750294182747,0.0082724389125912,False,-0.01465067013059,0.0110925135370833,0.252,phase1_improvement_study,,0.504,0.6852093023255814,False
loss10,combined_delay,combined,60,500,0.01324600152105479,-0.012536265467286674,0.0583915691467779,False,-0.01503874849756342,0.06597694341801923,0.748,phase8_delay_embedding,,0.504,0.6852093023255814,False
loss05,combined_delay,combined,60,500,-0.01750312773356283,-0.04578014911918257,0.02364888500371749,False,-0.0506554961904469,0.029941736088073843,0.254,phase8_delay_embedding,,0.508,0.6852093023255814,False
loss075,combined_correlation,market_correlation,60,500,-0.0061278114682318,-0.0333293464558981,0.010647814993613,False,-0.0399848127335548,0.0128453513052922,0.26,phase1_improvement_study,,0.52,0.6854545454545454,False
loss05,combined_z,VIX,60,500,0.0064383642326954,-0.0132985430674591,0.0249480953114755,False,-0.0183349592683184,0.0286903673082095,0.74,phase1_improvement_study,,0.52,0.6854545454545454,False
loss05,combined_lasso,market_lasso,60,500,-0.0054218632561182,-0.0221160836265767,0.0076873580918727,False,-0.0258773253000141,0.0093086568520598,0.268,phase7_alternative_learners,,0.536,0.6915989159891599,False
,target_combined,target_topology_xgb,60,369,-0.0012621819963726,-0.0061299298488639,0.0065633336539252,False,-0.0065576212215654,0.0118556311563846,0.2682926829268293,phase4_transfer_trained,credit_bond_ETFs,0.5365853658536586,0.6915989159891599,False
loss10,topology_pi_lasso,topology_pi_rf,60,500,0.003547464471261,-0.0177828386147841,0.030736853468764,False,-0.0207493345095118,0.0381636647808616,0.716,phase7_alternative_learners,,0.5680000000000001,0.7233732552379288,False
loss05,combined_orthogonal,combined,60,500,-0.0084270587307279,-0.0257607800349721,0.0132273224125697,False,-0.028694954924873,0.0174724383049849,0.288,phase2_orthogonal_addendum,,0.576,0.7233732552379288,False
,target_combined,target_market,60,369,-0.0002329153784887,-0.001543053352149,0.0004692713982486,False,-0.0030194751333775,0.0006130113246142,0.2899728997289973,phase4_transfer_trained,credit_bond_ETFs,0.5799457994579946,0.7233732552379288,False
loss075,topology_pi_lasso,topology_pi_rf,60,500,-0.0081554890673481,-0.0482575802783643,0.0230783694349286,False,-0.0526145476554022,0.0260443274227145,0.298,phase7_alternative_learners,,0.596,0.7291428571428573,False
loss10,topology_ews,topology,60,500,0.0055718417226613,-0.0123353946422826,0.0458724585318686,False,-0.0154101909350777,0.0608933167390207,0.7,phase1_improvement_study,,0.6000000000000001,0.7291428571428573,False
loss075,combined_z,market,60,500,0.0021026766049962,-0.0071975344198796,0.0119273130434315,True,-0.0088506999900035,0.0142155084815237,0.696,phase1_improvement_study,,0.6080000000000001,0.7291428571428573,False
loss10,delay_topology,topology,60,500,-0.007679697840580042,-0.0542345504490885,0.02444042533625631,False,-0.0708593032147807,0.028945863886860414,0.306,phase8_delay_embedding,,0.612,0.7291428571428573,False
loss10,combined_delay,market,60,500,0.015580982098462814,-0.010823903350603488,0.06180986048264096,False,-0.012908430680362647,0.06614423481683566,0.692,phase8_delay_embedding,,0.6160000000000001,0.7291428571428573,False
loss05,market_lasso,market,60,500,-0.0029775465031361,-0.0188012551188079,0.0104387992106454,False,-0.0206299421329417,0.0124331630635867,0.32,phase7_alternative_learners,,0.64,0.7498989898989898,False
loss10,combined_lasso,market_lasso,60,500,-0.0047204040572847,-0.0220900764647441,0.008756484332108,False,-0.0251780794254532,0.0110114954306088,0.324,phase7_alternative_learners,,0.648,0.75168,False
loss075,combined_orthogonal,combined,60,500,0.0037922831862926,-0.0079516952908503,0.0184192151380871,False,-0.0095432010952619,0.0220256238217701,0.668,phase2_orthogonal_addendum,,0.6639999999999999,0.7626138613861385,False
loss05,combined,market,60,500,-0.0022035721503548,-0.0140888924404048,0.0080743145993631,False,-0.0159663257240583,0.0086581502512269,0.346,phase1_improvement_study,,0.692,0.7869803921568627,False
loss075,combined,VIX,60,500,-0.0009837125556965,-0.0191635942798683,0.0137723523940105,False,-0.0212063138617883,0.0162699275294253,0.354,phase1_improvement_study,,0.708,0.7896923076923077,False
loss10,combined_orthogonal,combined,60,500,-0.0070650853124684,-0.0262105521539154,0.0156692955346725,False,-0.0274968627805655,0.0196004665220247,0.354,phase2_orthogonal_addendum,,0.708,0.7896923076923077,False
loss05,combined_orthogonal,market,60,500,-0.0023788204165765,-0.0111603065976806,0.0091783334583805,False,-0.0135631009960414,0.0113870143830535,0.368,phase2_orthogonal_addendum,,0.736,0.8034074074074075,False
loss075,combined_z,VIX,60,500,0.0047079686654567,-0.0170433796104186,0.0266712251301734,False,-0.0207937874121218,0.0342531974039805,0.628,phase1_improvement_study,,0.744,0.8034074074074075,False
loss075,combined_lasso,market_lasso,60,500,-0.0016193413088204,-0.0153429032701987,0.0128800539352047,False,-0.0181513835363638,0.0161447618332501,0.372,phase7_alternative_learners,,0.744,0.8034074074074075,False
loss10,combined_z,market,60,500,0.0009473024642605,-0.0106078978471486,0.0130801062043434,True,-0.0127592228051401,0.0148226053495644,0.626,phase1_improvement_study,,0.748,0.8034074074074075,False
,target_topology,target_market,60,369,-0.0004123735388177,-0.008605192467248,0.0023004886624086,False,-0.0166027979130764,0.0026970900774447,0.3983739837398374,phase4_transfer_trained,credit_bond_ETFs,0.7967479674796748,0.8479152681435072,False
loss05,market,VIX,60,500,0.0023379941953582,-0.0125112357017134,0.0160507292118324,False,-0.0147588304262138,0.0186169693481275,0.584,phase1_improvement_study,,0.8320000000000001,0.8773818181818183,False
loss075,market,VIX,60,500,0.0026052920604605,-0.0152970995982757,0.0198109772328122,False,-0.0183055051654444,0.0250807484780048,0.566,phase1_improvement_study,,0.8680000000000001,0.9031428571428572,False
loss10,combined_ews_correlation,market_correlation,60,500,0.0027053050303409,-0.0322179509327594,0.0313603093278486,False,-0.0363447801264433,0.0388150764634697,0.564,phase1_improvement_study,,0.8720000000000001,0.9031428571428572,False
loss05,combined_z_correlation,market_correlation,60,500,-0.0026308109403578,-0.0294442358296937,0.0251600326845178,False,-0.0313124583172408,0.0296633650271187,0.47,phase1_improvement_study,,0.94,0.9649557522123893,False
loss05,combined,VIX,60,500,0.0001344220450034,-0.0196466509990645,0.0142107963436049,False,-0.0235171479770448,0.0157271275428845,0.484,phase1_improvement_study,,0.968,0.9804521739130434,False
loss10,combined,market,60,500,0.002334980577408,-0.0115052545474977,0.0103783731041314,False,-0.0136871302519337,0.0115433709889699,0.514,phase1_improvement_study,,0.972,0.9804521739130434,False
loss05,topology_lasso,topology,60,500,-0.0012575330622615,-0.0174497477589601,0.0229056314329021,False,-0.0203086549346591,0.0270910169629294,0.498,phase7_alternative_learners,,0.996,0.996,False
