target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss10,topology,0.1,4510,197,0.04368070953436807,0.582455826500216,0.051327049975643226,800,94,103,0.18548574078367724,0.47715736040609136,0.10514541387024609,0.1982261640798226,172,159,0.5679859387272534,0.18194569767552493,9
loss10,topology_xgb,0.01,4510,197,0.04368070953436807,0.6374436392867273,0.06882249663515555,168,9,188,0.03895200556457222,0.04568527918781726,0.05084745762711865,0.03924611973392461,72,66,0.557836433382608,0.18700378234233722,9
loss10,topology_xgb,0.05,4510,197,0.04368070953436807,0.6374436392867273,0.06882249663515555,349,34,163,0.0809181544168792,0.17258883248730963,0.08877284595300261,0.08492239467849223,166,145,0.557836433382608,0.18700378234233722,9
loss10,topology_xgb,0.1,4510,197,0.04368070953436807,0.6374436392867273,0.06882249663515555,536,64,133,0.12427544632506377,0.3248730964467005,0.10666666666666667,0.13303769401330376,226,199,0.557836433382608,0.18700378234233722,9
loss075,VIX,0.01,4510,389,0.08625277161862528,0.6927225216132307,0.22766124210123112,339,85,304,0.0822615869934482,0.2185089974293059,0.20047169811320756,0.09401330376940133,54,46,0.5010527738605722,0.2523842711648768,13
loss075,VIX,0.05,4510,389,0.08625277161862528,0.6927225216132307,0.22766124210123112,649,118,271,0.15748604707595243,0.3033419023136247,0.15384615384615385,0.17006651884700666,78,62,0.5010527738605722,0.2523842711648768,13
loss075,VIX,0.1,4510,389,0.08625277161862528,0.6927225216132307,0.22766124210123112,950,187,202,0.23052657122057754,0.480719794344473,0.1644678979771328,0.25210643015521067,95,76,0.5010527738605722,0.2523842711648768,13
loss075,combined,0.01,4510,389,0.08625277161862528,0.6942477210899843,0.22667752954553452,386,80,309,0.09366658578015045,0.20565552699228792,0.17167381974248927,0.1033259423503326,43,36,0.49612598998643037,0.23949017357738928,13
loss075,combined,0.05,4510,389,0.08625277161862528,0.6942477210899843,0.22667752954553452,621,110,279,0.15069157971366173,0.2827763496143959,0.15047879616963064,0.16208425720620842,67,53,0.49612598998643037,0.23949017357738928,13
loss075,combined,0.1,4510,389,0.08625277161862528,0.6942477210899843,0.22667752954553452,826,176,213,0.20043678718757582,0.4524421593830334,0.17564870259481039,0.2221729490022173,66,48,0.49612598998643037,0.23949017357738928,13
loss075,combined_xgb,0.01,4510,389,0.08625277161862528,0.6738465406043034,0.14020664906136698,460,62,327,0.11162339238049017,0.15938303341902313,0.11877394636015326,0.11574279379157427,72,60,0.4522688653279129,0.20572870639115476,13
loss075,combined_xgb,0.05,4510,389,0.08625277161862528,0.6738465406043034,0.14020664906136698,729,128,261,0.1768988109682116,0.32904884318766064,0.14935822637106183,0.19002217294900223,71,47,0.4522688653279129,0.20572870639115476,13
loss075,combined_xgb,0.1,4510,389,0.08625277161862528,0.6738465406043034,0.14020664906136698,855,166,223,0.20747391409851978,0.4267352185089974,0.16258570029382957,0.22638580931263858,74,51,0.4522688653279129,0.20572870639115476,13
loss075,market,0.01,4510,389,0.08625277161862528,0.7055616445705082,0.23026653416169166,433,97,292,0.1050715845668527,0.2493573264781491,0.1830188679245283,0.11751662971175167,41,29,0.49987541178743994,0.2390767398280769,13
loss075,market,0.05,4510,389,0.08625277161862528,0.7055616445705082,0.23026653416169166,643,131,258,0.156030089784033,0.33676092544987146,0.16925064599483206,0.17161862527716187,61,47,0.49987541178743994,0.2390767398280769,13
loss075,market,0.1,4510,389,0.08625277161862528,0.7055616445705082,0.23026653416169166,862,183,206,0.20917253093909247,0.4704370179948586,0.17511961722488037,0.23170731707317074,69,50,0.49987541178743994,0.2390767398280769,13
loss075,market_xgb,0.01,4510,389,0.08625277161862528,0.6620806715119562,0.13045770908306317,470,78,311,0.11404998786702257,0.20051413881748073,0.14233576642335766,0.12150776053215077,41,34,0.4478819103670673,0.21965553498868187,13
loss075,market_xgb,0.05,4510,389,0.08625277161862528,0.6620806715119562,0.13045770908306317,673,109,280,0.1633098762436302,0.2802056555269923,0.13938618925831203,0.17339246119733925,58,40,0.4478819103670673,0.21965553498868187,13
loss075,market_xgb,0.1,4510,389,0.08625277161862528,0.6620806715119562,0.13045770908306317,825,123,266,0.20019412763892258,0.3161953727506427,0.12974683544303797,0.21019955654101996,60,45,0.4478819103670673,0.21965553498868187,13
loss075,topology,0.01,4510,389,0.08625277161862528,0.6048435843996733,0.10842895901040346,252,38,351,0.061150206260616354,0.09768637532133675,0.1310344827586207,0.06430155210643015,70,49,0.539890057699551,0.26179225330825556,13
loss075,topology,0.05,4510,389,0.08625277161862528,0.6048435843996733,0.10842895901040346,494,112,277,0.11987381703470032,0.2879177377892031,0.1848184818481848,0.1343680709534368,122,84,0.539890057699551,0.26179225330825556,13
loss075,topology,0.1,4510,389,0.08625277161862528,0.6048435843996733,0.10842895901040346,740,167,222,0.17956806600339723,0.42930591259640105,0.18412348401323042,0.20110864745011087,136,105,0.539890057699551,0.26179225330825556,13
loss075,topology_xgb,0.01,4510,389,0.08625277161862528,0.6251374706890346,0.12961143863326002,203,37,352,0.04925988837660762,0.09511568123393316,0.15416666666666667,0.05321507760532151,97,77,0.5345375289658185,0.2503726924069713,13
loss075,topology_xgb,0.05,4510,389,0.08625277161862528,0.6251374706890346,0.12961143863326002,383,101,288,0.09293860713419073,0.2596401028277635,0.20867768595041322,0.1073170731707317,155,125,0.5345375289658185,0.2503726924069713,13
loss075,topology_xgb,0.1,4510,389,0.08625277161862528,0.6251374706890346,0.12961143863326002,556,138,251,0.13491870905120115,0.35475578406169667,0.1988472622478386,0.15388026607538802,181,153,0.5345375289658185,0.2503726924069713,13
loss05,VIX,0.01,4510,805,0.17849223946784923,0.6581505603473568,0.3258534325752654,276,142,663,0.07449392712550608,0.1763975155279503,0.3397129186602871,0.09268292682926829,53,33,0.4918532646476817,0.3342892938626098,17
loss05,VIX,0.05,4510,805,0.17849223946784923,0.6581505603473568,0.3258534325752654,549,232,573,0.14817813765182186,0.28819875776397513,0.2970550576184379,0.17317073170731706,76,46,0.4918532646476817,0.3342892938626098,17
loss05,VIX,0.1,4510,805,0.17849223946784923,0.6581505603473568,0.3258534325752654,774,343,462,0.2089068825910931,0.4260869565217391,0.3070725156669651,0.2476718403547672,89,59,0.4918532646476817,0.3342892938626098,17
loss05,combined,0.01,4510,805,0.17849223946784923,0.6532827050904855,0.3259878546202688,273,143,662,0.07368421052631578,0.17763975155279504,0.34375,0.09223946784922395,54,36,0.5024562217608041,0.33398964332519476,17
loss05,combined,0.05,4510,805,0.17849223946784923,0.6532827050904855,0.3259878546202688,499,227,578,0.13468286099865048,0.2819875776397516,0.31267217630853994,0.16097560975609757,70,42,0.5024562217608041,0.33398964332519476,17
loss05,combined,0.1,4510,805,0.17849223946784923,0.6532827050904855,0.3259878546202688,691,310,495,0.1865047233468286,0.38509316770186336,0.3096903096903097,0.22195121951219512,72,40,0.5024562217608041,0.33398964332519476,17
loss05,combined_xgb,0.01,4510,805,0.17849223946784923,0.647597421647765,0.27256827213387413,367,158,647,0.099055330634278,0.19627329192546583,0.30095238095238097,0.1164079822616408,80,46,0.4888678017322318,0.32409054872711957,17
loss05,combined_xgb,0.05,4510,805,0.17849223946784923,0.647597421647765,0.27256827213387413,498,270,535,0.13441295546558704,0.33540372670807456,0.3515625,0.17028824833702882,85,47,0.4888678017322318,0.32409054872711957,17
loss05,combined_xgb,0.1,4510,805,0.17849223946784923,0.647597421647765,0.27256827213387413,650,326,479,0.17543859649122806,0.4049689440993789,0.33401639344262296,0.2164079822616408,85,52,0.4888678017322318,0.32409054872711957,17
loss05,market,0.01,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,354,155,650,0.09554655870445344,0.19254658385093168,0.3045186640471513,0.11286031042128603,44,26,0.4834386155292122,0.3244037349517303,17
loss05,market,0.05,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,538,264,541,0.14520917678812414,0.3279503105590062,0.32917705735660846,0.1778270509977827,62,36,0.4834386155292122,0.3244037349517303,17
loss05,market,0.1,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,719,338,467,0.19406207827260458,0.41987577639751555,0.3197729422894986,0.2343680709534368,69,40,0.4834386155292122,0.3244037349517303,17
loss05,market_xgb,0.01,4510,805,0.17849223946784923,0.6283999295898609,0.2539371987462763,364,165,640,0.09824561403508772,0.20496894409937888,0.31190926275992437,0.11729490022172949,70,46,0.4574992369077233,0.312592806495431,17
loss05,market_xgb,0.05,4510,805,0.17849223946784923,0.6283999295898609,0.2539371987462763,491,230,575,0.13252361673414306,0.2857142857142857,0.31900138696255204,0.1598669623059867,67,41,0.4574992369077233,0.312592806495431,17
loss05,market_xgb,0.1,4510,805,0.17849223946784923,0.6283999295898609,0.2539371987462763,599,249,556,0.16167341430499324,0.3093167701863354,0.2936320754716981,0.18802660753880265,76,49,0.4574992369077233,0.312592806495431,17
loss05,topology,0.01,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,203,93,712,0.054790823211875846,0.115527950310559,0.3141891891891892,0.06563192904656319,97,53,0.4931222365026337,0.3323276061615243,17
loss05,topology,0.05,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,403,195,610,0.10877192982456141,0.2422360248447205,0.32608695652173914,0.13259423503325943,141,79,0.4931222365026337,0.3323276061615243,17
loss05,topology,0.1,4510,805,0.17849223946784923,0.5407709910227072,0.21242297968363494,577,254,551,0.15573549257759783,0.315527950310559,0.3056558363417569,0.18425720620842573,156,101,0.4931222365026337,0.3323276061615243,17
loss05,topology_xgb,0.01,4510,805,0.17849223946784923,0.5802756054014635,0.2523878388682119,164,46,759,0.044264507422402156,0.05714285714285714,0.21904761904761905,0.04656319290465632,101,72,0.5121731178112853,0.3334596301739113,17
loss05,topology_xgb,0.05,4510,805,0.17849223946784923,0.5802756054014635,0.2523878388682119,314,138,667,0.08475033738191633,0.17142857142857143,0.3053097345132743,0.10022172949002217,178,112,0.5121731178112853,0.3334596301739113,17
loss05,topology_xgb,0.1,4510,805,0.17849223946784923,0.5802756054014635,0.2523878388682119,531,245,560,0.14331983805668017,0.30434782608695654,0.31572164948453607,0.1720620842572062,206,144,0.5121731178112853,0.3334596301739113,17
