target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes,ap_lift
loss05,combined_ews_correlation,0.05,4510,805,0.17849223946784923,0.6212162513306678,0.2904886513914717,541,270,535,0.14601889338731444,0.33540372670807456,0.33292231812577067,0.17982261640798225,77,42,0.5262492579363206,0.34417480518031024,17,1.6274581587273755
loss05,combined_ews_correlation,0.1,4510,805,0.17849223946784923,0.6212162513306678,0.2904886513914717,674,335,470,0.18191632928475035,0.4161490683229814,0.33201189296333,0.2237250554323725,94,54,0.5262492579363206,0.34417480518031024,17,1.6274581587273755
loss05,combined_z,0.01,4510,805,0.17849223946784923,0.6572290257416116,0.33229179680796084,288,158,647,0.07773279352226721,0.19627329192546583,0.3542600896860987,0.09889135254988914,61,40,0.5024130434350627,0.33363075746592874,17,1.8616596318060912
loss05,combined_z,0.05,4510,805,0.17849223946784923,0.6572290257416116,0.33229179680796084,472,255,550,0.12739541160593792,0.3167701863354037,0.35075653370013754,0.16119733924611973,69,41,0.5024130434350627,0.33363075746592874,17,1.8616596318060912
loss05,combined_z,0.1,4510,805,0.17849223946784923,0.6572290257416116,0.33229179680796084,657,324,481,0.17732793522267207,0.40248447204968946,0.3302752293577982,0.21751662971175167,90,53,0.5024130434350627,0.33363075746592874,17,1.8616596318060912
loss05,combined_z_correlation,0.01,4510,805,0.17849223946784923,0.6281006864988559,0.2986480175357874,211,137,668,0.056950067476383266,0.1701863354037267,0.3936781609195402,0.07716186252771619,63,40,0.5408284113377988,0.3614195641635048,17,1.6731708808526722
loss05,combined_z_correlation,0.05,4510,805,0.17849223946784923,0.6281006864988559,0.2986480175357874,404,201,604,0.10904183535762484,0.2496894409937888,0.3322314049586777,0.13414634146341464,92,49,0.5408284113377988,0.3614195641635048,17,1.6731708808526722
loss05,combined_z_correlation,0.1,4510,805,0.17849223946784923,0.6281006864988559,0.2986480175357874,597,302,503,0.16113360323886639,0.37515527950310557,0.3359288097886541,0.1993348115299335,107,66,0.5408284113377988,0.3614195641635048,17,1.6731708808526722
loss05,market,0.01,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,354,155,650,0.09554655870445344,0.19254658385093168,0.3045186640471513,0.11286031042128603,44,26,0.4834386155292122,0.3244037349517303,17,1.8386873723422517
loss05,market,0.05,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,538,264,541,0.14520917678812414,0.3279503105590062,0.32917705735660846,0.1778270509977827,62,36,0.4834386155292122,0.3244037349517303,17,1.8386873723422517
loss05,market,0.1,4510,805,0.17849223946784923,0.6598640413743387,0.32819142677062363,719,338,467,0.19406207827260458,0.41987577639751555,0.3197729422894986,0.2343680709534368,69,40,0.4834386155292122,0.3244037349517303,17,1.8386873723422517
loss05,market_correlation,0.01,4510,805,0.17849223946784923,0.6276906312604253,0.30127882847614523,261,121,684,0.07044534412955465,0.15031055900621118,0.31675392670157065,0.08470066518847007,60,40,0.5179222123880022,0.34280885758246055,17,1.6879099582949255
loss05,market_correlation,0.05,4510,805,0.17849223946784923,0.6276906312604253,0.30127882847614523,501,224,581,0.13522267206477734,0.2782608695652174,0.30896551724137933,0.1607538802660754,83,48,0.5179222123880022,0.34280885758246055,17,1.6879099582949255
