target,model,budget,n,positives,prevalence,auroc,average_precision,false_positive_days,true_positive_days,false_negative_days,false_positive_rate,recall,precision,time_under_warning,alarm_episodes,false_alarm_episodes,within_year_auroc,within_year_ap,years_with_both_classes
loss075,combined_pi_rf,0.01,4510,389,0.08625277161862528,0.6644648483627342,0.14916237280534592,201,48,341,0.04877456927930114,0.12339331619537275,0.1927710843373494,0.05521064301552107,37,27,0.5252639380836424,0.24648367510984429,13
loss075,combined_pi_rf,0.05,4510,389,0.08625277161862528,0.6644648483627342,0.14916237280534592,416,104,285,0.10094637223974763,0.26735218508997427,0.2,0.11529933481152993,76,61,0.5252639380836424,0.24648367510984429,13
loss075,combined_pi_rf,0.1,4510,389,0.08625277161862528,0.6644648483627342,0.14916237280534592,693,148,241,0.16816306721669497,0.38046272493573263,0.1759809750297265,0.18647450110864744,96,72,0.5252639380836424,0.24648367510984429,13
loss075,topology_pi_lasso,0.01,4510,389,0.08625277161862528,0.6527722761777566,0.132962148479919,344,103,286,0.08347488473671438,0.2647814910025707,0.23042505592841164,0.0991130820399113,38,23,0.5558730415925122,0.2541397700416636,13
loss075,topology_pi_lasso,0.05,4510,389,0.08625277161862528,0.6527722761777566,0.132962148479919,511,145,244,0.12399902936180539,0.37275064267352187,0.22103658536585366,0.14545454545454545,59,43,0.5558730415925122,0.2541397700416636,13
loss075,topology_pi_lasso,0.1,4510,389,0.08625277161862528,0.6527722761777566,0.132962148479919,664,176,213,0.16112594030575103,0.4524421593830334,0.20952380952380953,0.18625277161862527,64,48,0.5558730415925122,0.2541397700416636,13
loss075,topology_pi_rf,0.01,4510,389,0.08625277161862528,0.6417914637485972,0.14111763754726714,199,31,358,0.04828925018199466,0.07969151670951156,0.13478260869565217,0.050997782705099776,31,21,0.5280709272044339,0.23322735058782781,13
loss075,topology_pi_rf,0.05,4510,389,0.08625277161862528,0.6417914637485972,0.14111763754726714,389,93,296,0.09439456442611016,0.2390745501285347,0.19294605809128632,0.10687361419068736,76,55,0.5280709272044339,0.23322735058782781,13
loss075,topology_pi_rf,0.1,4510,389,0.08625277161862528,0.6417914637485972,0.14111763754726714,639,147,242,0.15505945158942006,0.37789203084832906,0.18702290076335878,0.17427937915742794,97,76,0.5280709272044339,0.23322735058782781,13
loss05,VIX,0.01,4510,805,0.17849223946784923,0.6581505603473568,0.3258534325752654,276,142,663,0.07449392712550608,0.1763975155279503,0.3397129186602871,0.09268292682926829,53,33,0.4918532646476817,0.3342892938626098,17
loss05,VIX,0.05,4510,805,0.17849223946784923,0.6581505603473568,0.3258534325752654,549,232,573,0.14817813765182186,0.28819875776397513,0.2970550576184379,0.17317073170731706,76,46,0.4918532646476817,0.3342892938626098,17
loss05,VIX,0.1,4510,805,0.17849223946784923,0.6581505603473568,0.3258534325752654,774,343,462,0.2089068825910931,0.4260869565217391,0.3070725156669651,0.2476718403547672,89,59,0.4918532646476817,0.3342892938626098,17
